Nome;Suplente;Partido ;UF;Inicio;Fim
Acir Gurgacz;Titulares;PDT;RO;2015;2023
Aécio Neves;Titulares;PSDB;MG;2011;2019
Airton Sandoval;Suplente;MDB;SP;2011;2019
Aloysio Nunes Ferreira;Titulares;PSDB;SP;2011;2019
Alvaro Dias;Titulares;PODEMOS;PR;2015;2023
Ana Amélia;Titulares;PP;RS;2011;2019
Ângela Portela;Titulares;PDT;RR;2011;2019
Antonio Anastasia;Titulares;PSDB;MG;2015;2023
Antonio Carlos Valadares;Titulares;PSB;SE;2011;2019
Armando Monteiro;Titulares;PTB;PE;2011;2019
Ataídes Oliveira;Suplente;PSDB;TO;2011;2019
Benedito de Lira;Titulares;PP;AL;2011;2019
Blairo Maggi;Titulares;PL;MT;2011;2019
Cássio Cunha Lima;Titulares;PSDB;PB;2011;2019
Cidinho Santos;Suplente;PL;MT;2011;2019
Ciro Nogueira;Titulares;PP;PI;2011;2019
Cristovam Buarque;Titulares;CIDADANIA;DF;2011;2019
Dalirio Beber;Suplente;PSDB;SC;2011;2019
Dário Berger;Titulares;MDB;SC;2015;2023
Davi Alcolumbre;Titulares;DEM;AP;2015;2023
Deca;Suplente;PSDB;PB;2011;2019
Delcídio do Amaral;Titulares;S/Partido;MS;2011;2019
Demóstenes Torres;Titulares;S/Partido;GO;2011;2019
Donizeti Nogueira;Suplente;PT;TO;2015;2023
Douglas Cintra;Suplente;PTB;PE;2011;2019
Edison Lobão;Titulares;MDB;MA;2011;2019
Eduardo Amorim;Titulares;PSDB;SE;2011;2019
Eduardo Braga;Titulares;MDB;AM;2011;2019
Eduardo Lopes;Suplente;REPUBLICANOS;RJ;2011;2019
Elber Batalha;Suplente;PSB;SE;2011;2019
Elmano Férrer;Titulares;PODEMOS;PI;2015;2023
Eunício Oliveira;Titulares;MDB;CE;2011;2019
Fátima Bezerra;Titulares;PT;RN;2015;2023
Fernando Bezerra Coelho;Titulares;MDB;PE;2015;2023
Fernando Collor;Titulares;PTC;AL;2015;2023
Fernando Ribeiro;Suplente;MDB;PA;2011;2019
Flexa Ribeiro;Titulares;PSDB;PA;2011;2019
Garibaldi Alves Filho;Titulares;MDB;RN;2011;2019
Gilberto Piselo;Suplente;PDT;RO;2015;2023
Gilvam Borges;Titulares;MDB;AP;2011;2019
Givago Tenório;Suplente;PP;AL;2011;2019
Gladson Cameli;Titulares;PP;AC;2015;2023
Gleisi Hoffmann;Titulares;PT;PR;2011;2019
Guaracy Silveira;Suplente;PSL;TO;2015;2023
Hélio José;Suplente;PROS;DF;2011;2019
Humberto Costa;Titulares;PT;PE;2011;2019
Ione Guimarães;Suplente;PTB;GO;2011;2019
Itamar Franco;Titulares;CIDADANIA;MG;2011;2019
Ivo Cassol;Titulares;PP;RO;2011;2019
Jader Barbalho;Titulares;MDB;PA;2011;2019
Jean-Paul Prates;Suplente;PT;RN;2015;2023
João Alberto Souza;Titulares;MDB;MA;2011;2019
João Capiberibe;Titulares;PSB;AP;2011;2019
João Ribeiro;Titulares;PL;TO;2011;2019
Jorge Viana;Titulares;PT;AC;2011;2019
José Agripino;Titulares;DEM;RN;2011;2019
José Amauri;Suplente;PODEMOS;PI;2015;2023
José Aníbal;Suplente;PSDB;SP;2015;2023
José Maranhão;Titulares;MDB;PB;2015;2023
José Medeiros;Suplente;PODEMOS;MT;2011;2019
José Pimentel;Titulares;PT;CE;2011;2019
José Serra;Titulares;PSDB;SP;2015;2023
Kátia Abreu;Titulares;PDT;TO;2015;2023
Lasier Martins;Titulares;PSD;RS;2015;2023
Lídice da Mata;Titulares;PSB;BA;2011;2019
Lindbergh Farias;Titulares;PT;RJ;2011;2019
Lúcia Vânia;Titulares;PSB;GO;2011;2019
Luiz Carlos do Carmo;Suplente;MDB;GO;2015;2023
Luiz Henrique;Titulares;MDB;SC;2011;2019
Magno Malta;Titulares;PL;ES;2011;2019
Mailza Gomes;Suplente;PP;AC;2015;2023
Marcelo Crivella;Titulares;REPUBLICANOS;RJ;2011;2019
Maria do Carmo Alves;Titulares;DEM;SE;2015;2023
Marinor Brito;Titulares;PSOL;PA;2011;2019
Marta Suplicy;Titulares;MDB;SP;2011;2019
Omar Aziz;Titulares;PSD;AM;2015;2023
Otto Alencar;Titulares;PSD;BA;2015;2023
Pastor Bel;Suplente;PRTB;MA;2011;2019
Pastor Valadares;Suplente;PDT;RO;2015;2023
Paulo Bauer;Titulares;PSDB;SC;2011;2019
Paulo Paim;Titulares;PT;RS;2011;2019
Paulo Rocha;Titulares;PT;PA;2015;2023
Pedro Chaves;Suplente;REPUBLICANOS;MS;2011;2019
Pedro Taques;Titulares;PDT;MT;2011;2019
Pinto Itamaraty;Suplente;PSDB;MA;2015;2023
Raimundo Lira;Suplente;PSD;PB;2011;2019
Randolfe Rodrigues;Titulares;REDE;AP;2011;2019
Reditario Cassol;Suplente;PP;RO;2011;2019
Regina Sousa;Suplente;PT;PI;2011;2019
Reguffe;Titulares;S/Partido;DF;2015;2023
Renan Calheiros;Titulares;MDB;AL;2011;2019
Ricardo Ferraço;Titulares;PSDB;ES;2011;2019
Ricardo Franco;Suplente;DEM;SE;2015;2023
Roberto Muniz;Suplente;PP;BA;2011;2019
Roberto Requião;Titulares;MDB;PR;2011;2019
Roberto Rocha;Titulares;PSDB;MA;2015;2023
Rodrigo Rollemberg;Titulares;PSB;DF;2011;2019
Rodrigues Palma;Suplente;PL;MT;2011;2019
Romário;Titulares;PODEMOS;RJ;2015;2023
Romero Jucá;Titulares;MDB;RR;2011;2019
Ronaldo Caiado;Titulares;DEM;GO;2015;2023
Rose de Freitas;Titulares;PODEMOS;ES;2015;2023
Rudson Leite;Suplente;PV;RR;2015;2023
Sandra Braga;Suplente;MDB;AM;2011;2019
Sérgio de Castro;Suplente;PDT;ES;2011;2019
Sérgio Petecão;Titulares;PSD;AC;2011;2019
Simone Tebet;Titulares;MDB;MS;2015;2023
Tasso Jereissati;Titulares;PSDB;CE;2015;2023
Telmário Mota;Titulares;PTB;RR;2015;2023
Thieres Pinto;Suplente;PTB;RR;2015;2023
Valdir Raupp;Titulares;MDB;RO;2011;2019
Vanessa Grazziotin;Titulares;PCdoB;AM;2011;2019
Vicentinho Alves;Titulares;PL;TO;2011;2019
Virginio de Carvalho;Suplente;PSC;SE;2015;2023
Vital do Rêgo;Titulares;MDB;PB;2011;2019
Waldemir Moka;Titulares;MDB;MS;2011;2019
Walter Pinheiro;Titulares;S/Partido;BA;2011;2019
Wellington Dias;Titulares;PT;PI;2011;2019
Wellington Fagundes;Titulares;PL;MT;2015;2023
Wilder Morais;Suplente;DEM;GO;2011;2019
Wilson Santiago;Titulares;PTB;PB;2011;2019
Wirlande da Luz;Suplente;MDB;RR;2011;2019
Zé Santana;Suplente;MDB;PI;2011;2019
Zeze Perrella;Suplente;MDB;MG;2011;2019
