,name,profile,decklist,wins,winsSwiss,winsBracket,winRate,winRateSwiss,winRateBracket,draws,losses,lossesSwiss,lossesBracket,standing,colorID,commander,tournamentName,dateCreated,drawsSwiss
0,Ian Flannery,GHPNb0E7DnWMVIsJIhYSXre58rB3,https://www.moxfield.com/decks/OaGq6tkEpkK-tYehn7E01g,5,3,2.0,0.7142857142857143,0.6,1.0,2,0,0,0.0,1,WUB,"Tivit, Seller of Secrets",Mox Masters October 22,1664607601,
1,Guus the Goose,sd2LCfHFtHbkVFzUQHSCTVZptNW2,https://www.moxfield.com/decks/ZiflpjHO8E-6jQFn_1tabQ,4,3,1.0,0.5714285714285714,0.6,0.5,2,1,0,1.0,2,WBG,"Halana, Kessig Ranger / Tymna the Weaver",Mox Masters October 22,1664607601,
2,Vincent aprano,ZBIP4U330ZMav1R4M7mnHciERGb2,https://www.moxfield.com/decks/QpkKBAxRcUq0czFNsJJZWg,4,3,1.0,0.5714285714285714,0.6,0.5,1,2,1,1.0,3,UBR,"Armix, Filigree Thrasher / Kraum, Ludevic's Opus",Mox Masters October 22,1664607601,
3,Mitchell Stephenson,AdS22lj7RkXTAKt5nQ1hr7iQ3ok1,https://www.moxfield.com/decks/Rb-kbNxmWESWdRk7pGhweQ,4,3,1.0,0.5714285714285714,0.6,0.5,0,3,2,1.0,4,UBR,"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",Mox Masters October 22,1664607601,
4,Brandon Lucia ,xANVG9Ydn0QAtiu6rzNcSj1QqsF2,https://www.moxfield.com/decks/UfRMtqJKU0yjz8huOqNOgA,4,4,0.0,0.6666666666666666,0.8,0.0,0,2,1,1.0,5,BRG,"Dargo, the Shipwrecker / Ikra Shidiqi, the Usurper",Mox Masters October 22,1664607601,
5,Ignasi Ibáñez Martí,cQ30wpoy0eSg7t80b79fgn07Wz62,https://www.moxfield.com/decks/7O1sCuIti0igU6Us_Jhadg,3,3,0.0,0.5,0.6,0.0,1,2,1,1.0,6,WUBR,"Kraum, Ludevic's Opus / Tymna the Weaver",Mox Masters October 22,1664607601,
6,Connor Ritchotte,sdVaz5PhWbZVwCttM8S9QdmGRVQ2,https://www.moxfield.com/decks/Yg22hBgzHEmQXsIM6bT6yQ,3,3,0.0,0.5,0.6,0.0,0,3,2,1.0,7,UBR,"Malcolm, Keen-Eyed Navigator / Vial Smasher the Fierce",Mox Masters October 22,1664607601,
7,Nick Kalte,aYOkLEHqOhYgqkRUrWpkEFmOUML2,https://www.moxfield.com/decks/nBcCh1EqMk-oAShV0ywAyQ,3,3,0.0,0.5,0.6,0.0,0,3,2,1.0,8,WUBR,"Kraum, Ludevic's Opus / Tymna the Weaver",Mox Masters October 22,1664607601,
8,Ami,rlZiqvLHB7UOasQBodF8R5xbXX52,https://www.moxfield.com/decks/h88PHcfIDEG7rsq3WXTeUg,3,3,0.0,0.5,0.6,0.0,0,3,2,1.0,9,U,"Urza, Lord High Artificer",Mox Masters October 22,1664607601,
9,Chris Oliver-Conroy,Aj0TIZtQbENQ8PfsUm837evkGgx2,https://www.moxfield.com/decks/tF0NAbnfIkyeOQGsgpqPsA,2,2,0.0,0.3333333333333333,0.4,0.0,2,2,1,1.0,10,UG,"Ivy, Gleeful Spellthief",Mox Masters October 22,1664607601,
10,Tony Parks,c90oWwRPJFcb9oP5aCcyjvjUf4y1,https://www.moxfield.com/decks/h2uxyCc2iEK915R0AW3tSw,2,2,0.0,0.3333333333333333,0.4,0.0,2,2,1,1.0,11,WRG,"Rocco, Cabaretti Caterer",Mox Masters October 22,1664607601,
11,Takato Mitsuda,KnEzdraHD2V9Czv8PCuqhohTa7F2,https://www.moxfield.com/decks/zHocFJxZb0uruHtZhbitrw,2,2,0.0,0.3333333333333333,0.4,0.0,2,2,1,1.0,12,WUBRG,"Najeela, the Blade-Blossom",Mox Masters October 22,1664607601,
12,Lauri Lannetta,Dtbn9VMPVfVzTs0wRtH027HCyvK2,https://www.moxfield.com/decks/keuksVHHp0e6QHCNXEpOwQ,2,2,0.0,0.3333333333333333,0.4,0.0,1,3,2,1.0,13,UBR,"Rograkh, Son of Rohgahh / Silas Renn, Seeker Adept",Mox Masters October 22,1664607601,
13,Daniel Graft,AWIfQoGUBYYzqZSoMJOIGRKc3Ki1,https://www.moxfield.com/decks/BXY4WFzBZEK9QBXOe1UJlw,2,2,0.0,0.3333333333333333,0.4,0.0,1,3,2,1.0,14,UB,"Yuriko, the Tiger's Shadow",Mox Masters October 22,1664607601,
14,Kevin Simmons,tiM4KFkVXnMW4L1Sh7JSbuGEDf82,https://www.moxfield.com/decks/56EFYHSKA0OY6q2nIs2OJw,2,2,0.0,0.3333333333333333,0.4,0.0,1,3,2,1.0,15,WUBG,"Thrasios, Triton Hero / Tymna the Weaver",Mox Masters October 22,1664607601,
15,John Addleman,mY5zb2LnBySlrGJd6V0IcjDK4y92,https://www.moxfield.com/decks/ntNtsDZrbE-6hGhKJrUKcA,2,2,0.0,0.3333333333333333,0.4,0.0,1,3,2,1.0,16,WUBR,"Kraum, Ludevic's Opus / Tymna the Weaver",Mox Masters October 22,1664607601,
16,Sean Barmapov,CvvDwGm2xIMW9iuvHGwI0Dw3QU13,https://www.moxfield.com/decks/D7Oxkt3-s0SwLEaiX4g9UQ,4,2,2.0,0.5714285714285714,0.4,1.0,1,2,2,0.0,1,URG,"Dargo, the Shipwrecker / Thrasios, Triton Hero",Mox Masters December 22,1670054400,
17,Thorne Garvin,Wwkl5hwUOqRSVNydDogKbfxlzoc2,https://www.moxfield.com/decks/RJ9MB3ThrEqetz48EyipxA,5,4,1.0,0.7142857142857143,0.8,0.5,0,2,1,1.0,2,WUBR,"Kraum, Ludevic's Opus / Tymna the Weaver",Mox Masters December 22,1670054400,
