,TID,tournamentName,size,date,dateCreated,swissNum,topCut
0,SiliconDynasty,Silicon Dynasty,161,2023-01-14T17:00:00.000Z,1673715600,6,16
1,rybklRiX5tZLBCCSgcqQ,ka0s 6! Sponsored by The cEDH Nexus,148,2023-01-21T03:43:25.000Z,1674272605,4,16
2,MM123,Mox Masters January 23,127,2023-01-28T15:00:00.000Z,1674918000,5,16
3,Fia6JR9cwYZdoLeDbg3B,ka0s Treasure Series,74,2023-01-29T08:55:20.000Z,1674982520,4,16
4,JuGcNn7QDi8yf8bliKJl,The Fishbowl,76,2023-02-01T23:40:12.000Z,1675294812,4,16
5,o6f4K51JpJOw5x85UdQo,cEDH Reserve List Series - Bayou 03/04/2023,50,2023-02-09T17:54:28.000Z,1675965268,5,16
6,MM223,Mox Masters February 23,127,2023-02-25T14:00:00.000Z,1677333600,5,16
7,nGKysF3Gadeg2LpGDYOi,ka0s 7,64,2023-03-18T02:04:38.000Z,1679105078,4,16
8,MM323,Mox Masters March 23,117,2023-03-18T13:00:00.000Z,1679144400,5,16
9,PuntCity2,Punt City 2,158,2023-03-25T14:00:00.000Z,1679752800,7,16
10,MlK7itjsNs6KZab0RCpN,The Mana Vault's Grand Opening Win a Dual,52,2023-03-12T04:24:17.000Z,1678595057,3,16
11,dWtvY43ryZZVR6ur9N4Z,Middle Georgia cEDH Tournament,60,2023-03-27T17:39:14.000Z,1679938754,4,16
12,BwV8Taajqwyx7JX0aQXm,Commandergeddon,57,2023-01-21T08:00:00.000Z,1674288000,3,16
13,kCL6XyynyVMNr9JAk4wM,ka0s Treasure Series 2,90,2023-03-18T21:16:00.000Z,1679174160,4,16
14,PWXfglqzGISnnNsaYNaN,The Mana Vault Beta Demonic Tutor Tournament ,55,2023-04-07T01:14:57.000Z,1680830097,3,16
15,MM523,Mox Masters May 23,125,2023-05-06T14:00:00.000Z,1683381600,5,16
16,Bs2bMbJ8J9Hyok6tggCr,"cEDH PT presents. "" 7 Hills City Open """,71,2023-01-25T20:25:35.000Z,1674678335,6,16
17,QKsoOhKm6dAq31NcdUDh,cEDH Reserve List Series - Volcanic Island 05/06/2023,58,2023-04-12T13:30:21.000Z,1681306221,5,16
18,ECxwJKlWDwttWK1XOaqb,COMMNANDERGEDDON 2,67,2023-05-12T14:00:00.000Z,1683900000,4,16
19,XBXD3ncNMh50f9lqaIsh,May Massacre 2023,53,2023-04-11T02:36:24.000Z,1681180584,4,16
20,OUvfuKWcvu8kxY3AUrcC,Ka0s Treasure Series 3,84,2023-05-20T05:00:00.000Z,1684558800,5,16
21,CO1QDG2Ra3H1vTQa2BNM,From The Vault 3 FTV Mox Diamond Tournament ,54,2023-05-27T05:00:00.000Z,1685163600,4,16
22,F70NFkcHojfex95v0cPv,CCS Grand Opening cEDH Timetwister Tournament ,92,2023-06-03T04:00:00.000Z,1685764800,6,16
23,CCU2,Cash Cards Unlimited 2,93,2023-06-03T17:00:00.000Z,1685811600,6,16
24,MM623,Mox Masters June 23,129,2023-06-10T14:00:00.000Z,1686405600,5,16
25,30kiRS8Xqflvikd0AgLU,Salt City,79,2023-06-10T06:00:00.000Z,1686376800,4,16
26,e12X2mJ980uCRlVqbxd0,ka0s Treasure Series 4,78,2023-06-17T04:00:00.000Z,1686974400,5,16
27,Y6cmmAhd2rNTCTPn8PgP,Jeweled Lotus Lattenkamp #1,86,2023-04-14T13:48:39.000Z,1681480119,5,16
28,SCG0623,SCG Con Baltimore 2023,117,2023-06-16T00:00:00.000Z,1686877241,4,16
29,MM723,Mox Masters July 23,139,2023-07-08T14:00:00.000Z,1688824800,5,16
30,EEv53Gwgg8jU8elVy4Lb,Fish Bowl II ,75,2023-07-09T07:00:00.000Z,1688886000,4,16
31,nWYk99uNhwhwj7buUIy6,ka0s Treasure Series 5,95,2023-07-15T04:00:00.000Z,1689393600,5,16
32,TheCookout,The Cookout,160,2023-07-29T13:00:00.000Z,1690635600,8,16
33,CookoutRedemption,The Cookout Redemption,53,2023-07-30T13:00:00.000Z,1690722000,2,4
34,SurfsideShowdown,Surfside Showdown,92,2023-08-05T17:00:00.000Z,1691254800,6,16
35,MM823,Mox Masters August 23,139,2023-08-12T14:00:00.000Z,1691848800,6,16
36,q0k3UcotG9jKeXSwdc5i,Treasure Series 6 by ka0s Tournaments,106,2023-08-19T04:00:00.000Z,1692417600,6,16
37,i6GcatNWC360H2qYNPF8,Biggest Little Summer CEDH Showdown,51,2023-08-20T07:00:00.000Z,1692514800,4,16
